county,human,Horses,dead birds,mosquito,chickens
State Totals,225,15,226,3288,139
Alameda,1,0,0,0,0
Alpine,0,0,0,0,0
Amador,1,0,0,0,0
Butte,5,0,1,44,34
Calaveras,0,0,0,0,0
Colusa,1,0,0,0,6
Contra Costa,1,0,1,1,2
Del Norte,0,0,0,0,0
El Dorado,0,0,0,0,0
Fresno,51,2,10,495,0
Glenn,0,0,0,1,1
Humboldt,0,0,0,0,0
Imperial,3,0,0,2,0
Inyo,0,0,0,0,0
Kern,28,2,2,128,0
Kings,3,0,0,63,0
Lake,0,0,0,6,0
Lassen,0,0,0,0,0
Los Angeles,31,0,53,94,28
Madera,3,1,0,85,0
Marin,0,0,0,0,0
Mariposa,0,0,0,0,0
Mendocino,0,0,0,0,0
Merced,10,1,3,48,16
Modoc,0,0,0,0,0
Mono,0,0,0,0,0
Monterey,0,0,0,0,0
Napa,0,0,0,0,0
Nevada,0,0,0,0,0
Orange,5,0,50,208,0
Placer,1,0,3,53,8
Plumas,0,0,0,0,0
Riverside,12,1,5,524,0
Sacramento,4,1,44,74,4
San Benito,0,0,0,0,1
San Bernardino,7,1,4,52,0
San Diego,3,0,2,0,0
San Francisco,0,0,0,0,0
San Joaquin,7,1,5,288,0
San Luis Obispo,2,0,0,0,0
San Mateo,0,0,0,0,0
Santa Barbara,0,0,0,0,0
Santa Clara,1,0,8,0,0
Santa Cruz,0,0,0,0,0
Shasta,0,0,1,3,1
Sierra,0,0,0,0,0
Siskiyou,0,0,0,0,0
Solano,1,0,0,5,4
Sonoma,0,0,0,0,0
Stanislaus,16,2,4,203,0
Sutter,1,0,0,15,11
Tehama,0,0,0,0,4
Trinity,0,0,0,0,0
Tulare,24,1,17,814,10
Tuolumne,0,1,1,0,0
Ventura,2,1,2,1,3
Yolo,1,0,7,59,1
Yuba,0,0,3,22,5
State Totals,225,15,226,3288,139
